"isorhamnetine","isorhamnetine"
"rhamnetin","rhamnetin"
"methoxyquercetin","methoxyquercetin"
"myrct","myrct"
"myricetin","myricetin"
"cannabiscetin","cannabiscetin"
"myricetol","myricetol"
"myricitin","myricitin"
"rsvrtol","rsvrtol"
"resvertrol","resvertrol"
"stilbenoid","stilbenoid"
"phenylpropanoid","phenylpropanoid"
"trihydroxystilbene","trihydroxystilbene"
"stilbenetriol","stilbenetriol"
"phytoalexin","phytoalexin"
"hespt","hespt"
"hesperetin","hesperetin"
"eriodictyol","eriodictyol"
"flavanone","flavanone"
"flavanoid","flavanoid"
"narng","narng"
"naringenin","naringenin"
"naringetol","naringetol"
"salipurol","salipurol"
"salipurpol","salipurpol"
"trihydroxyflavanone","trihydroxyflavanone"
"hespd","hespd"
"hesperdin","hesperdin"
"flavan","flavan"
"daidzn","daidzn"
"daidzein","daidzein"
"formononetin","formononetin"
"isoflavone","isoflavone"
"phytoestrogens","phytoestrogens"
"isoflavonoid","isoflavonoid"
"prism","prism"
"dihydroxyisoflavone","dihydroxyisoflavone"
"daidzeol","daidzeol"
"isoaurostatin","isoaurostatin"
"gnstein","gnstein"
"genistein","genistein"
"biochanin","biochanin"
"angiogenesis","angiogenesis"
"inhibitor","inhibitor"
"epicatec","epicatec"
"epicatechin","epicatechin"
"flavanol","flavanol"
"catechin","catechin"
"epicategc","epicategc"
"epigallo","epigallo"
"epicatgc3gal","epicatgc3gal"
"gallate","gallate"
"egcg","egcg"
"catec","catec"
"+","+"
"cianidanol","cianidanol"
"cyanidanol","cyanidanol"
"catechinic","catechinic"
"catechuic","catechuic"
"cianidol","cianidol"
"dexcyanidanol","dexcyanidanol"
"flavanpentol","flavanpentol"
"galcatecgal","galcatecgal"
"gallocatechin","gallocatechin"
"gcg","gcg"
"galcatec","galcatec"
"gc","gc"
"gallocatechol","gallocatechol"
"syrgac","syrgac"
"syringic","syringic"
"sinpac","sinpac"
"sinapinic","sinapinic"
"sinapic","sinapic"
"dimethoxycinnamic","dimethoxycinnamic"
"ellgac","ellgac"
"ellagic","ellagic"
"dilactone","dilactone"
"hexahydroxydiphenic","hexahydroxydiphenic"
"antiproliferative","antiproliferative"
"polyph","polyph"
"polyphenols","polyphenols"
"rafs","rafs"
"raffinose","raffinose"
"rafinosa","rafinosa"
"gossypose","gossypose"
"melitose","melitose"
"melitriose","melitriose"
"galactosylsucrose","galactosylsucrose"
"fructofuranosyl","fructofuranosyl"
"galactopyranosyl","galactopyranosyl"
"trisaccharide","trisaccharide"
"oligosaccharide","oligosaccharide"
"stas","stas"
"stachyose","stachyose"
"tetrasaccharide","tetrasaccharide"
"vers","vers"
"verbascose","verbascose"
"pentasaccharide","pentasaccharide"
"ajgs","ajgs"
"ajugose","ajugose"
"hexasaccharide","hexasaccharide"
"camt","camt"
"campesterol","campesterol"
"phytosterol","phytosterol"
"plant","plant"
"phytosteroid","phytosteroid"
"steroid","steroid"
"campestanol","campestanol"
"stgstr","stgstr"
"stigmasterol","stigmasterol"
"wulzen","wulzen"
"anti","anti"
"stiffness","stiffness"
"factor","factor"
"stostrb","stostrb"
"sitosterol","sitosterol"
"soild","soild"
